One11Brands	10/23/2025	Strategy call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01K7M5RH3BSR5BS7J00RVMZBJC	A lot of questions specific to Meta ; ad account structure																						
Universal Nutrition 	11/4/2025	Strategy call 	https://app.fireflies.ai/view/Meet-with-Kynship-jacqueline-fontana-jacqueline-fontana::01K8RKCGBVZ69EA8BPDX8A2GS4																							
FishSkyn 	11/11/2025	Strategy call 	https://app.fireflies.ai/view/Cut-Your-CAC-by-50-Strategy-Session-Kynship-::01K9D5QFW66GR5PRSXWWMFKCTR																							
BBQ Dripez	11/12/2025	Strategy call 	https://app.fireflies.ai/view/Strategy-Call::01K982J2FXN34EFA6S0ZRCEVYA																							
Crimpit	12/2/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call-mike-crimpit-com::01KB0NX82RTA6SC5XQ2M708YG7																							
Seth Barnes (Raddish Kids)	12/5/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KBN0FATFA8DN1V3TQ0NVGK93																							
Cuts Clothing 	12/5/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KBDPYT9DEBY1PD4C27G1J5KD																							
Banuskin 	12/8/2025	Strategy Call 	https://app.fireflies.ai/view/Roz-Samimi-and-Cody-Wittick::01KBK0M75Z9AYBQEZFPRFD22BP																							
Wuka 	12/10/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KBN88RCCHQCJ45S2AEEW1G9A																							
Kenetik 	12/10/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Kenetik::01KBN88QQ0Y2H8QPVAXHRJ23GQ																							
365 Holdings 	12/10/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KBSWZTQPR5MS9W03SHV4VYBG																							
XeroShoes 	12/11/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KBSWZTR4WD6P2DKTZVKD4KXH																							
Tumblerware 	12/11/2025	Strategy Call 	https://app.fireflies.ai/view/30-Min-Meeting-Tom-Siswick-::01KC2E78FX18GT12JBQ6QFPMV1																							
Protein Works	12/16/2025	Strategy Call 	https://app.fireflies.ai/view/Cut-Your-CAC-by-50-Strategy-Session-Kynship-::01KCA8EGKJY6PR3M8ARWW4P0XJ																							
Wild & Free 	12/16/2025	Strategy Call 	https://app.fireflies.ai/view/Cut-Your-CAC-by-50-Strategy-Session-Kynship-::01KC7WT1T4MSQ8XYBK6N8X4FYT																							
Ashtel Studios 	12/17/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Ashtel-ARU-Strategy-Call::01KC7WT1T3G33Q3S8903CPXCC0																							
365 Holdings	12/18/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KCA8EGKR7SW7E1JJ69Q2CYWP																							
CalNutri 	12/22/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KCZ2TP6T6MBGX9G1N9WRQ3DC																							
Ashtel Studios 	12/22/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-Ashtel-ARU-::01KCZ2TP6SWB8G828HV7JGCR8Z																							
Cult Capital 	12/22/2025	Strategy Call 	https://app.fireflies.ai/view/Kynship-x-Cult-Capital::01KCZ4KE4PZ4MY27BQK47BP516																							
Tiboo	1/13/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-Tiboo-Strategy-Call::01KEPYH2244A8KYNJWX51V39A0																							
Wholesome goods 	1/27/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KFJXZD6ED5A6ARVWWNX9531V																							
Pott'd	1/28/2026	Strategy Call 	https://app.fireflies.ai/view/Pott-d-x-Cody::01KG2ND14CBDFZSP6MDGBRD3CV																							
Hello Jupiter 	1/28/2026	Strategy Call 	https://app.fireflies.ai/view/Cut-Your-CAC-by-50-Strategy-Session-Kynship-::01KFY3FQSSMM9PDDVJG1P7NRGW																							
Yasmin Li 	1/30/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KG0MRD87E27TPMBTX8808W1S																							
Daniel Crow 	2/3/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KG02PXDAVR75Y2WAS5F2TWGE																							
CalNutri 	2/3/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-CalNutri-Strategy-Discussion-::01KGQMN9AXYTDZ8APTTS2E1JMG																							
WOW	2/10/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KGMX8DB1XRFQH3YEWJ3XHD2W																							
Cuddle Clones 	2/18/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KH5A6VBNYX5MARR6S7XEDK55																							
Shop LC/ Rachel 	2/18/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KHKQF3SJSX5TBTDNPK2CDTAA																							
Creating Power 	2/19/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-Call-karim-creatingpower-com::01KHPR1Y117KRPD7CJ93KTYM2X																							
Leap Frog 	3/11/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KKC6JW3DT9HHJFBQ8K10856H																							
Klira Skin 	3/11/82026	Strategy Call 	https://app.fireflies.ai/view/Kynship-Strategy-Call::01KK9RRJ30NT727CGWQS8XB4QV																							
Baked Bags 	3/18/2026	Strategy Call 	https://app.fireflies.ai/view/Kynship-x-Baked-Bags::01KKKE0B0XMZ16TKVWP7RQJAE3																							
